,Party Name,Party in ABBRV,Founded,Chairperson,Position,Senate,House ofRepresentatives,Governors,State Assemblies
0,All Progressives Congress,APC,2013,Abdullahi Adamu,Centre,59,176,22,570
1,Peoples Democratic Party,PDP,1998,Iyorchia Ayu,Centre-right,38,119,13,325
2,Labour Party,LP,2002,Julius Abure,Centre-left,8,34,1,26
3,All Progressives Grand Alliance,APGA,2003,Victor Oye,Not Provided,1,4,1,19
4,New Nigeria People's Party,NNPP,2020,Rufai Ahmed Alkali,Syncretic,2,18,1,26
5,Young Progressives Party,YPP,2017,Bishop Amakiri,Centre-left,1,2,0,2
6,Social Democratic Party,SDP,1989,Vacant,Centre-left,2,2,0,0
7,African Democratic Congress,ADC,2005,Ralph Okey Nwosu,Not Provided,1,2,0,1
